disease_id,crop_id,disease_name,pathogen_type,scientific_name,symptoms,verified_source
DIS_TOM_EB,CROP_TOMATO,Tomato Early Blight,Fungal,Alternaria solani,Dark brown circular spots with concentric target-like rings on older leaves leading to yellow halo and defoliation,ICAR-IIHR Bengaluru & TNAU Agritech
DIS_TOM_LB,CROP_TOMATO,Tomato Late Blight,Oomycete,Phytophthora infestans,Large irregular water-soaked pale green lesions turning dark brown with white fungal sporulation underneath during cool wet conditions,ICAR-CPRI & TNAU Agritech
DIS_TOM_SLS,CROP_TOMATO,Tomato Septoria Leaf Spot,Fungal,Septoria lycopersici,Numerous small circular lesions with dark brown margins and sunken grey/tan centers with tiny black pycnidia,ICAR-IIHR & PAU Ludhiana
DIS_TOM_BS,CROP_TOMATO,Tomato Bacterial Spot,Bacterial,Xanthomonas perforans / vesicatoria,Small water-soaked dark brown spots with chlorotic yellow borders on leaves and raised scabby fruit lesions,ICAR-IIVR Varanasi & TNAU
DIS_TOM_TYLCV,CROP_TOMATO,Tomato Yellow Leaf Curl Virus,Viral,Begomovirus (TYLCV),Severe upward curling and cupping of leaf margins with chlorosis and intense stunting transmitted by whiteflies,ICAR-IIHR & PAU Ludhiana
DIS_POT_EB,CROP_POTATO,Potato Early Blight,Fungal,Alternaria solani,Concentric ring target lesions on foliage and sunken dark dry rot on tubers,ICAR-CPRI Shimla & PAU
DIS_POT_LB,CROP_POTATO,Potato Late Blight,Oomycete,Phytophthora infestans,Rapidly expanding water-soaked necrotic blighted patches with white downy growth under humid conditions,ICAR-CPRI Shimla & CPRI Jalandhar
DIS_POT_BS,CROP_POTATO,Potato Black Scurf & Canker,Fungal,Rhizoctonia solani,Dark brown to black hard sclerotial bodies on tuber skin with sunken stem cankers,ICAR-CPRI Shimla
DIS_WHT_YR,CROP_WHEAT,Wheat Yellow / Stripe Rust,Fungal,Puccinia striiformis f. sp. tritici,Parallel rows of bright yellow to orange-yellow powdery pustules along leaf veins,ICAR-IIWBR Karnal & PAU Ludhiana
DIS_WHT_BR,CROP_WHEAT,Wheat Brown / Leaf Rust,Fungal,Puccinia triticina,Small round to oval scattered orange-brown pustules predominantly on upper leaf surface,ICAR-IIWBR Karnal & CCS HAU Hisar
DIS_WHT_PM,CROP_WHEAT,Wheat Powdery Mildew,Fungal,Blumeria graminis f. sp. tritici,White to grey powdery fungal patches on leaves and leaf sheaths turning brownish with cleistothecia,ICAR-IIWBR Karnal
DIS_RIC_BL,CROP_RICE,Rice Blast,Fungal,Magnaporthe oryzae (Pyricularia oryzae),Spindle-shaped or eye-shaped lesions with grey centers and brown/reddish margins on leaf blades and neck rot,ICAR-NRRI Cuttack & IGKV Raipur
DIS_RIC_BLB,CROP_RICE,Rice Bacterial Leaf Blight,Bacterial,Xanthomonas oryzae pv. oryzae,Water-soaked to yellowish-white wavy marginal stripes on leaf blades with bacterial ooze beads,ICAR-NRRI Cuttack & PAU
DIS_RIC_SB,CROP_RICE,Rice Sheath Blight,Fungal,Rhizoctonia solani,Oval or elliptical greenish-grey water-soaked lesions with irregular dark brown margins on leaf sheaths near waterline,ICAR-NRRI Cuttack & AAU Anand
DIS_COT_BB,CROP_COTTON,Cotton Bacterial Blight / Angular Leaf Spot,Bacterial,Xanthomonas citri pv. malvacearum,Angular water-soaked lesions bounded by leaf veinlets turning dark reddish-brown with black arm stem cankers,ICAR-CICR Nagpur & MPKV
DIS_COT_CLCuD,CROP_COTTON,Cotton Leaf Curl Disease,Viral,Cotton leaf curl virus (CLCuV),Upward or downward leaf curling with severe leaf enations and thickening of main veins transmitted by Bemisia tabaci,ICAR-CICR Sirsa & PAU
DIS_COT_ALB,CROP_COTTON,Cotton Alternaria Leaf Blight,Fungal,Alternaria macrospora,Small circular brown spots with concentric zonation and purple margins leading to premature leaf shedding,ICAR-CICR Nagpur & JAU
DIS_SOY_YR,CROP_SOYBEAN,Soybean Rust,Fungal,Phakopsora pachyrhizi,Tiny chlorotic pin-head spots turning reddish-brown pustules on lower leaf surface with severe defoliation,ICAR-IISR Indore & JNKVV
DIS_SOY_YMV,CROP_SOYBEAN,Soybean Yellow Mosaic Virus,Viral,Mungbean yellow mosaic India virus (MYMIV),Bright yellow irregular patches alternating with green leaf lamina transmitted by whitefly,ICAR-IISR Indore & RVSKVV
DIS_SOY_CBR,CROP_SOYBEAN,Soybean Charcoal Rot,Fungal,Macrophomina phaseolina,Premature leaf yellowing with dark greyish discoloration and abundant micro-sclerotia inside split stems during hot dry weather,ICAR-IISR Indore
DIS_MAI_NCLB,CROP_MAIZE,Maize Northern Corn Leaf Blight,Fungal,Exserohilum turcicum,Long elliptical cigar-shaped grey-green to tan lesions parallel to leaf veins,ICAR-IIMR Ludhiana & PAU
DIS_MAI_BLSB,CROP_MAIZE,Maize Banded Leaf & Sheath Blight,Fungal,Rhizoctonia solani f. sp. sasakii,Concentric bleached and brown necrotic bands across leaf sheaths and lower leaves resembling snake-skin pattern,ICAR-IIMR & CCS HAU
DIS_CHP_WLT,CROP_CHICKPEA,Chickpea Fusarium Wilt,Fungal,Fusarium oxysporum f. sp. ciceris,Drooping of petioles and rachis with yellowing from top downwards and internal vascular brown pith browning,ICAR-IIPR Kanpur & JNKVV
DIS_CHP_AB,CROP_CHICKPEA,Chickpea Ascochyta Blight,Fungal,Ascochyta rabiei,Circular or elongated tan lesions with dark brown concentric rings of pycnidia on leaves, stems and pods,ICAR-IIPR Kanpur & PAU
DIS_MUS_WR,CROP_MUSTARD,Mustard White Rust,Oomycete,Albugo candida,Raised white to cream pustules on undersides of leaves and floral malformation (staghead),ICAR-DRMR Bharatpur & CCS HAU
DIS_GNT_TK,CROP_GROUNDNUT,Groundnut Tikka Leaf Spot (Early/Late),Fungal,Cercospora arachidicola / Phaeoisariopsis personata,Early: Reddish-brown circular spots with bright yellow halo. Late: Dark black circular spots on lower leaf surface without prominent halo,ICAR-DGR Junagadh & JAU
DIS_GRP_DM,CROP_GRAPES,Grape Downy Mildew,Oomycete,Plasmopara viticola,Yellowish translucent oily spots (oilspots) on upper leaf surface with dense white cottony downy growth underneath,ICAR-NRC Grapes Pune & MPKV
DIS_POM_BB,CROP_POMEGRANATE,Pomegranate Bacterial Blight (Telya),Bacterial,Xanthomonas axonopodis pv. punicae,Dark brown water-soaked angular leaf spots with prominent oily appearance and Y/L-shaped deep nodal stem cracks,ICAR-NRCP Solapur & MPKV
